url,name,ein,score,star_rating,keywords,website,address,phone,organization_mission,IRS_ruling_year,contain_keywords
https://www.charitynavigator.org/ein/451655962,CITY PRESBYTERIAN CHURCH,451655962,,,"This organization is not rated, Not rated, Not currently rated",,"PO BOX 2641, OKLAHOMA CITY, OK, 73101-2641",,Mission not available,1974,Yes
https://www.charitynavigator.org/ein/451656663,Living Rock Foundation,451656663,,,"This organization is not rated, Not rated, Not currently rated",,"550 RESERVE ST STE 460, SOUTHLAKE, TX, 76092-1602",,Mission not available,2012,Yes
https://www.charitynavigator.org/ein/451657891,Agrawal Family Foundation Inc.,451657891,,,"This organization is not rated, Not rated, Not currently rated",,"9429 HARDING AVENUE 293, SURFSIDE, FL, 33154-2803",,Mission not available,2013,Yes
https://www.charitynavigator.org/ein/451660040,Bassett Education Foundation,451660040,76%,3,Review Before Proceeding,http://WWW.BUSDFOUNDATION.ORG,"904 WILLOW AVE, LA PUENTE, CA, 91746-1615",626-931-3045,"TO PROVIDE A PLATFORM FOR FINANCING AND UNDERTAKING ACTIVITIES, PROJECTS AND FUNCTIONS WHICH WILL ENHANCE, COMPLEMENT AND ENRICH EDUCATION PROGRAMS AND ACTIVITIES CU ... (More)",2010,Yes
https://www.charitynavigator.org/ein/451657862,Khaki Foundation,451657862,,,"This organization is not rated, Not rated, Not currently rated",,"2676 E 60TH ST N, TULSA, OK, 74130-1600",,Mission not available,2014,Yes
https://www.charitynavigator.org/ein/451660469,Crossing Jordan Landing Inc.,451660469,,,"This organization is not rated, Not rated, Not currently rated",,"1401 CYPRESS ST, VALDOSTA, GA, 31601-4910",,PROVIDE GUIDANCE AND DEVELOP VETERANS TUTORIAL PROGRAMS. PROVIDE PROGRAMS FOR AT-RISK CHILDREN.,2012,Yes
https://www.charitynavigator.org/ein/451660531,Hs Ministry,451660531,,,"This organization is not rated, Not rated, Not currently rated",,"4 ADELFA ST, RMV, CA, 92694-1284",,Mission not available,2012,Yes
https://www.charitynavigator.org/ein/451661460,Jeff Hill Legacy Fund,451661460,,,"This organization is not rated, Not rated, Not currently rated",,"PO BOX 770317, EAGLE RIVER, AK, 99577-0317",,Mission not available,2014,Yes
https://www.charitynavigator.org/ein/451661482,Calvary Chapel of Eagle Church Inc.,451661482,,,"This organization is not rated, Not rated, Not currently rated",,"372 S EAGLE ROAD 355, EAGLE, ID, 83616-5908",,Mission not available,2011,Yes
https://www.charitynavigator.org/ein/451656421,Environmental Eye,451656421,,,"This organization is not rated, Not rated, Not currently rated, Review Before Proceeding",,"371 DRAKES VIEW DR, INVERNESS, CA, 94937-8077",,Mission not available,2014,Yes
