url,name,ein,score,star_rating,keywords,website,address,phone,organization_mission,IRS_ruling_year,contain_keywords
https://www.charitynavigator.org/ein/431684432,Archie 2000,431684432,,,"Not rated, This organization is not rated, Not currently rated",,"304 N TRUMAN RD, ARCHIE, MO, 64725-9519",,Mission not available,1996,Yes
https://www.charitynavigator.org/ein/431684526,St. Louis Breastfeeding Coalition,431684526,,,"Not rated, This organization is not rated, Not currently rated",,"14624 LAKETRAILS CT, CHESTERFIELD, MO, 63017-2234",,Mission not available,2012,Yes
https://www.charitynavigator.org/ein/431684627,New Liberty Hospital Corporation,431684627,,,"Not rated, This organization is not rated, Not currently rated",,"2525 GLENN HENDREN DR, LIBERTY, MO, 64068-9625",816-792-7012,"To provide certain long range planning activities and other services to expand the patient base of the New Liberty Hospital District, a related entity.",1995,Yes
https://www.charitynavigator.org/ein/431684529,Cosentino Charity Foundation,431684529,65%,2,,,"13180 METCALF AVE, OVERLAND PARK, KS, 66213-2815",913-749-1545,The Cosentino Charity Foundation SUPPORTS various charitable needs in the Kansas City area by contributing to public charities dedicated to fulfilling these needs. C ... (More),1995,No
https://www.charitynavigator.org/ein/431684770,Warren Senior Center,431684770,80%,3,,,"202 E WASHINGTON AVE, RICHLAND, MO, 65556-8300",,COMMUNITY SENIOR CENTERPROVIDE MEALS TO SENIOR CITIZENS & HOMEBOUND CITIZENS,1996,No
https://www.charitynavigator.org/ein/431684871,KARTERS OF AMERICA RACING TRIAD,431684871,,,"Not rated, This organization is not rated, Not currently rated",,"24995 S MEADOW RIDGE RD, CLAREMORE, OK, 74019-4369",,Mission not available,1995,Yes
https://www.charitynavigator.org/ein/431685281,Santas Helpers Inc.,431685281,,,"Not rated, This organization is not rated, Not currently rated",,"326 JAMBOREE DR, MANCHESTER, MO, 63021-5131",,Mission not available,1994,Yes
https://www.charitynavigator.org/ein/431684872,Msma Health Education Foundation,431684872,87%,3,,,"PO BOX 1028, JEFFERSON CTY, MO, 65102-1028",573-636-5151,ASSIST IN PROVIDING ADDITIONAL EDUCATION/TRAINING FOR PHYSICIANS SO THEY MAY INCREASE THEIR LEVEL OF KNOWLEDGE AND BE BETTER PREPARED TO SERVE THE GENERAL PUBLIC.,1994,No
https://www.charitynavigator.org/ein/431685378,LIFE INSURANCE ASSN OF MISSOURI,431685378,,,"Not rated, This organization is not rated, Not currently rated",,"PO BOX 1072, JEFFERSON CTY, MO, 65102-1072",,Mission not available,1999,Yes
https://www.charitynavigator.org/ein/431685651,Graceland College Center for Prof Dev & Lifelong Learning Inc.,431685651,73%,2,,http://WWW.SKILLPATH.COM,"6900 SQUIBB RD, MISSION, KS, 66202-3247",913-362-3900,LIFELONG PROFESSIONAL DEVELOPMENT AND CONTINUING EDUCATION FOR ADULTS,1994,No
https://www.charitynavigator.org/ein/431685006,CLARKSVILLE MUSEUM INC,431685006,,,"Not rated, This organization is not rated, Not currently rated",,"24051 PIKE 211, ELSBERRY, MO, 63343-2005",,Mission not available,1995,Yes
https://www.charitynavigator.org/ein/431685507,Joplin Library Foundation,431685507,,,"Not rated, This organization is not rated, Not currently rated",http://WWW.JOPLINPUBLICLIBRARY.ORG,"1901 E 20TH ST, JOPLIN, MO, 64804-1017",417-623-7953,"SOLICIT, COLLECT, RECEIVE, ACCUMULATE, ADMINISTER, AND DISBURSE FUNDS IN SUCH A MANNER AS WILL, IN THE SOLE DISCRETION OF THE BOARD OF DIRECTORS, MOST EFFECTIVELY FU ... (More)",1994,Yes
https://www.charitynavigator.org/ein/431685710,ZETA BETA TAU FRATERNITY,431685710,,,"Not rated, This organization is not rated, Not currently rated",,"748 KRAFFEL LN, TWN AND CNTRY, MO, 63017-8057",,PROMOTE SOCIAL AND EDUCATIONAL OBJECTIVES,1940,Yes
https://www.charitynavigator.org/ein/431685769,Santa Fe R-10 Foundation Inc.,431685769,,,"Not rated, This organization is not rated, Not currently rated",,"2023 MAIN ST, HIGGINSVILLE, MO, 64037-1743",,Mission not available,2014,Yes
https://www.charitynavigator.org/ein/431685821,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC,431685821,,,"Not rated, This organization is not rated, Not currently rated",,"PO BOX 368, CASSVILLE, MO, 65625-0368",,Mission not available,2002,Yes
https://www.charitynavigator.org/ein/431685822,Perfected Praise International Inc.,431685822,,,"Not rated, This organization is not rated, Not currently rated",,"600 S ABEL ST UNIT 208, MILPITAS, CA, 95035-8690",,Mission not available,1997,Yes
https://www.charitynavigator.org/ein/431685900,MISSOURI MORMON FRONTIER FOUNDATION,431685900,,,"Not rated, This organization is not rated, Not currently rated",,"PO BOX 118, LIBERTY, MO, 64069-0118",,Mission not available,2023,Yes
https://www.charitynavigator.org/ein/431686025,JACKSON CONGREGATIONAL METHODIST MISSION,431686025,,,"Not rated, This organization is not rated, Not currently rated",,"1061 CLARK ST, JACKSON, MO, 63755-1396",,Mission not available,1966,Yes
https://www.charitynavigator.org/ein/431686109,Calvary Community Outreach Network,431686109,97%,4,,http://www.ccon-kc.org/ccon-home.htm,"2940 HOLMES ST, KANSAS CITY, MO, 64109-1432",816-531-4683,"Calvary Community Outreach Network (CCON) is dedicated to assisting with the spiritual, physical, economic, and social needs of individuals and families by providing ... (More)",1995,No
https://www.charitynavigator.org/ein/431686116,TOASTMASTERS INTERNATIONAL,431686116,,,"Not rated, This organization is not rated, Not currently rated",,"5037 REYNOSA DR, SAINT LOUIS, MO, 63128-2733",,Mission not available,1945,Yes
https://www.charitynavigator.org/ein/431686139,THE NORTHEAST KANSAS CITY CHAMBER OF COMMERCE,431686139,,,"Not rated, This organization is not rated, Not currently rated",http://www.nekcchamber.com,"2657 INDEPENDENCE AVE, KANSAS CITY, MO, 64124-9998",816-231-3312,TO PROMOTE BUSINESS AND COMMUNITY GROWTH AND DEVELOPMENT IN THE NORTHEAST KANSAS CITY AREA,1995,Yes
https://www.charitynavigator.org/ein/431686149,Jesus Christ Temple of Deliverance,431686149,,,"Not rated, This organization is not rated, Not currently rated",,"6150 MINERVA AVE, SAINT LOUIS, MO, 63133-2263",,Mission not available,2003,Yes
https://www.charitynavigator.org/ein/431686282,St. Louis American Foundation,431686282,54%,1,,http://STLAFOUNDATION.ORG,"2315 PINE ST, SAINT LOUIS, MO, 63103-2218",314-533-8000,SUPPORT OF EDUCATION AND HEALTH OF MINORITY STUDENTS THROUGH PROVIDING INFORMATION AND SCHOLARSHIPS TO NEEDY STUDENTS.,2020,No
https://www.charitynavigator.org/ein/431686299,Pentecostal Prayer House,431686299,,,"Not rated, This organization is not rated, Not currently rated",,"5712 WABASH AVE, KANSAS CITY, MO, 64130-3529",,Mission not available,1995,Yes
https://www.charitynavigator.org/ein/431686855,New Hope Evangelical Church,431686855,,,"Not rated, This organization is not rated, Not currently rated",,"PO BOX 718, KIRKSVILLE, MO, 63501-0718",,Mission not available,1995,Yes
https://www.charitynavigator.org/ein/431686868,The Kansas City Missouri Police Care Team Inc.,431686868,,,"Not rated, This organization is not rated, Not currently rated",,"1125 LOCUST ST, KANSAS CITY, MO, 64106-2623",,Mission not available,1995,Yes
https://www.charitynavigator.org/ein/431686942,Church of Christ With the Elijah Message Inc.,431686942,,,"Not rated, This organization is not rated, Not currently rated",,"17006 S GRAHAM RD, PLEASANT HILL, MO, 64080-8307",,Mission not available,2009,Yes
https://www.charitynavigator.org/ein/431686534,PTA MISSOURI CONGRESS,431686534,,,"Not rated, This organization is not rated, Not currently rated",,"2602 EDMOND ST, SAINT JOSEPH, MO, 64501-3289",,Mission not available,1971,Yes
https://www.charitynavigator.org/ein/431687030,DARLINGTON BAPTIST CHURCH,431687030,,,"Not rated, This organization is not rated, Not currently rated",,"706 MAIN ST, DARLINGTON, MO, 64438-9132",,Mission not available,1965,Yes
https://www.charitynavigator.org/ein/431687180,ROCKY MOUNTAIN ELK FOUNDATION INC,431687180,,,"Not rated, This organization is not rated, Not currently rated",,"PO BOX 8249, MISSOULA, MT, 59807-8249",,Mission not available,1992,Yes
https://www.charitynavigator.org/ein/431687056,VERSAILLES AREA CHAMBER OF COMMERCE,431687056,,,"Not rated, This organization is not rated, Not currently rated",,"PO BOX 256, VERSAILLES, MO, 65084-0256",,Mission not available,1994,Yes
https://www.charitynavigator.org/ein/431687393,TECHNOLOGY STUDENT ASSOCIATION,431687393,,,"Not rated, This organization is not rated, Not currently rated",,"PO BOX 480, JEFFERSON CTY, MO, 65102-0480",,Mission not available,1980,Yes
https://www.charitynavigator.org/ein/431687464,Pre-Columbian Studies Institute,431687464,,,"Not rated, This organization is not rated, Not currently rated",,"2305 S OLD MILL AVE, INDEPENDENCE, MO, 64057-7815",,Mission not available,2014,Yes
https://www.charitynavigator.org/ein/431687475,Clowder House Foundation Inc.,431687475,23%,0,,,"3134 WYOMING ST, SAINT LOUIS, MO, 63118-2122",,TO PROVIDE WELFARE AND A SHELTER FOR UNWANTED CATS,1996,No
https://www.charitynavigator.org/ein/431687592,Puerto Rican Society,431687592,,,"Not rated, This organization is not rated, Not currently rated",,"PO BOX 6351, CHESTERFIELD, MO, 63006-6351",,Mission not available,2017,Yes
https://www.charitynavigator.org/ein/431687327,Women of Achievement,431687327,,,"Not rated, This organization is not rated, Not currently rated",,"STEVEN B GORIN ONE US BANK PLAZ, ST LOUIS, MO, 63101-0000",314-552-6151,"The primary activity of Women of Achievement is to recognize women who make significant contributions to the St. Louis, MO area by honoring them in an annual luncheo ... (More)",1994,Yes
https://www.charitynavigator.org/ein/431687085,Greenbelt Land Trust of Mid Missouri Inc.,431687085,,,"Not rated, This organization is not rated, Not currently rated",,"2101 W BROADWAY STE 103 PMB 106, COLUMBIA, MO, 65203-7632",,Mission not available,1994,Yes
https://www.charitynavigator.org/ein/431688120,Deaflead,431688120,96%,4,,http://DEAFLEAD.COM,"2505 W ASH, COLUMBIA, MO, 65203-4614",573-445-5005,"TO PROVIDE LEADERSHIP THROUGH EDUCATION, ADVOCACY, CRISIS INTERVENTION SERVICES, COUNSELING AND OTHER DIRECT SERVICES FOR DEAF, HARD OF HEARING, DEAF AND BLIND, LATE ... (More)",1995,No
https://www.charitynavigator.org/ein/431687695,FIRST BAPTIST CHURCH OF ST ELIZABETH,431687695,,,"Not rated, This organization is not rated, Not currently rated",,"786 HIGHWAY 52, ST ELIZABETH, MO, 65075-2404",,Mission not available,1965,Yes
https://www.charitynavigator.org/ein/431687946,Thank You Walt Disney Inc.,431687946,79%,3,,https://thankyouwaltdisney.org/,"204 W 52ND ST, KANSAS CITY, MO, 64112-2803",913-449-5864,"Thank You Walt Disney, Inc. is committed to saving Walt Disney's Kansas City history and providing a place for art and animation study, while encouraging confidence ... (More)",1995,No
https://www.charitynavigator.org/ein/431688145,Pattonville Education Foundation,431688145,,,"Not rated, This organization is not rated, Not currently rated",,"11097 SAINT CHARLES ROCK RD, SAINT ANN, MO, 63074-1509",,Mission not available,2015,Yes
https://www.charitynavigator.org/ein/431687839,Marceline Community Building Organization,431687839,76%,3,,http://WWW.WALSWORTHCC.ORG,"PO BOX 51, MARCELINE, MO, 64658-0051",660-376-2249,"TO SERVE ALL OF THE RESIDENTS OF LINN AND CHARITON COUNTIES (MISSOURI) AS A PLACE TO HOLD WEDDING RECEPTIONS, DANCES, BANQUETS, YOUTH ACTIVITIES, AND OTHER CIVIC FUN ... (More)",1996,No
https://www.charitynavigator.org/ein/431688370,LOOKOUT ASSEMBLY OF GOD,431688370,,,"Not rated, This organization is not rated, Not currently rated",,"PO BOX 327, VIBURNUM, MO, 65566-0327",,Mission not available,1964,Yes
https://www.charitynavigator.org/ein/431688296,Moberly Public Schools Foundation,431688296,,,"Not rated, This organization is not rated, Not currently rated",,"PO BOX 104, MOBERLY, MO, 65270-0104",,Mission not available,1995,Yes
https://www.charitynavigator.org/ein/431688382,Beta-Chi Educational Foundation,431688382,,,"Not rated, This organization is not rated, Not currently rated",,"1237 FIENUP LAKE DR, CHESTERFIELD, MO, 63005-4433",,Mission not available,1995,Yes
https://www.charitynavigator.org/ein/431688443,Westran Booster Club,431688443,,,"Not rated, This organization is not rated, Not currently rated",,"709 S MAIN ST, HUNTSVILLE, MO, 65259-1252",,Mission not available,2020,Yes
https://www.charitynavigator.org/ein/431688470,Solid Sports Program Inc.,431688470,,,"Not rated, This organization is not rated, Not currently rated",,"3938 CANTERBURY DRIVE, SAINT LOUIS, MO, 63121-2528",,Mission not available,2020,Yes
https://www.charitynavigator.org/ein/431688531,Lebanon Soccer Association,431688531,,,"Not rated, This organization is not rated, Not currently rated",,"24554 GREEN HILLS RD, LEBANON, MO, 65536-5803",,Mission not available,2003,Yes
https://www.charitynavigator.org/ein/431688589,Rec Plex Swim Team Parents Association Inc.,431688589,,,"Not rated, This organization is not rated, Not currently rated",,"1370 TRIAD CENTER DR, SAINT PETERS, MO, 63376-7350",,Mission not available,1999,Yes
https://www.charitynavigator.org/ein/431688667,EMERALD ASSOCIATION,431688667,,,"Not rated, This organization is not rated, Not currently rated",,"23834 SONNY DR, GOLDEN, MO, 65658-8189",,Mission not available,2011,Yes
