url,name,ein,score,star_rating,keywords,website,address,phone,organization_mission,IRS_ruling_year,contain_keywords
https://www.charitynavigator.org/ein/201271986,Dunwoody Christian Academy Inc.,201271986,,,"Not currently rated, This organization is not rated, Not rated",,"5067 CHAMBLEE DUNWOODY RD, DUNWOODY, GA, 30338-5609",,Mission not available,2004,Yes
https://www.charitynavigator.org/ein/201273336,Edu4all Inc.,201273336,,,"Not currently rated, This organization is not rated, Not rated",,"3050 POST OAK BLVD STE 110, HOUSTON, TX, 77056-6557",,Mission not available,2005,Yes
https://www.charitynavigator.org/ein/201272940,Eco-Servants,201272940,69%,2,,http://ECOSERVANTS.ORG,"PO BOX 1723, RUIDOSO, NM, 88355-1723",575-808-1204,NATURAL RESOURCE PRESERVATION AND RESTORATION,2004,No
https://www.charitynavigator.org/ein/201273212,Michael H Minger Memorial Foundation,201273212,,,"Not currently rated, This organization is not rated, Not rated",,"1350 JOHN SIMS PKWY E, NICEVILLE, FL, 32578-2208",,Mission not available,2006,Yes
https://www.charitynavigator.org/ein/201273813,McDaniel-Tichenor House Inc.,201273813,97%,4,,http://www.mcdaniel-tichenor.org,"319 MCDANIEL ST, MONROE, GA, 30655-2060",,"To bring the community together through community events focused on historical preservation and education with tours, classes and events.",2004,No
https://www.charitynavigator.org/ein/201274066,John Ragsdale Ministries,201274066,,,"Not currently rated, This organization is not rated, Not rated",,"1034 STONEBRIDGE PARK DR, FRANKLIN, TN, 37069-4008",,Mission not available,2007,Yes
https://www.charitynavigator.org/ein/201275389,SUMMIT HEIGHTS FELLOWSHIP,201275389,,,"Not currently rated, This organization is not rated, Not rated",,"2340 FARM TO MARKET ROAD 2869, HAWKINS, TX, 75765-0000",,Mission not available,2001,Yes
https://www.charitynavigator.org/ein/201274835,The Mobility Impaired Golf Association,201274835,,,"Not currently rated, This organization is not rated, Not rated",,"11843 SW KING GEORGE DR, TIGARD, OR, 97224-2628",,Mission not available,2005,Yes
https://www.charitynavigator.org/ein/201274693,ROTARY INTERNATIONAL,201274693,,,"Not currently rated, This organization is not rated, Not rated",,"PO BOX 153, DUVALL, WA, 98019-0153",,Mission not available,1942,Yes
https://www.charitynavigator.org/ein/201275450,Bay Area A&M Club,201275450,,,"Not currently rated, This organization is not rated, Not rated",,"5406 GENOA RED BLUFF RD, PASADENA, TX, 77505-5711",,Mission not available,2011,Yes
https://www.charitynavigator.org/ein/201275534,Anner Incorporated,201275534,,,"Not currently rated, This organization is not rated, Not rated",,"22675 CARRIAGE RIDE LN, ZACHARY, LA, 70791-6940",,Mission not available,2005,Yes
https://www.charitynavigator.org/ein/201276012,Walnut Country Preschool,201276012,,,"Not currently rated, This organization is not rated, Not rated",,"4465 S LARWIN AVE, CONCORD, CA, 94521-4450",,Mission not available,2009,Yes
https://www.charitynavigator.org/ein/201276320,Gpmch Foundation,201276320,,,"Not currently rated, This organization is not rated, Not rated",,"10924 SE 24TH PL, BELLEVUE, WA, 98004-7321",,Mission not available,2009,Yes
https://www.charitynavigator.org/ein/201276276,Idaho Affordable Housing Management Association,201276276,,,"Not currently rated, This organization is not rated, Not rated",,"PO BOX 1773, BOISE, ID, 83701-1773",,Mission not available,2015,Yes
https://www.charitynavigator.org/ein/201276493,Jeff Lucas International Ministries Inc.,201276493,78%,3,,http://www.jefflucas.org,"PO BOX 71, LOVELAND, CO, 80539-0071",970-797-0433,"To equip and provoke the church. To communicate the gospel in a non-threatening, non-traditional way. To accomplish our mission through teaching, preaching, writing, ... (More)",2006,No
https://www.charitynavigator.org/ein/201276510,Fairbanks Hockey Hall of Fame Inc.,201276510,,,"Not currently rated, This organization is not rated, Not rated",,"219 SLATER DR, FAIRBANKS, AK, 99701-3429",,Mission not available,2012,Yes
https://www.charitynavigator.org/ein/201276810,Oregon Intellectual and Developmental Disabilities Coaliti,201276810,,,"Not currently rated, This organization is not rated, Not rated",,"1775 32ND PLACE NE, SALEM, OR, 97301-8774",,Mission not available,2005,Yes
https://www.charitynavigator.org/ein/201276817,First Peoples Center for Education,201276817,,,"Not currently rated, This organization is not rated, Not rated",http://WWW.NAIAHEDC.ORG,"22 CESSNA RD, SHERIDAN, WY, 82801-8722",307-673-0035,THE MISSION OF FPCFE IS TO IMPROVE AND SUPPORT TEACHER EFFECTIVENESS IN NATIVE COMMUNITIES BECAUSE WE BELIEVE AMERICA'S FIRST CHILDREN DESERVE THE BEST. THE VISION I ... (More),2004,Yes
https://www.charitynavigator.org/ein/201277074,Iglesia De Dios Pentecostal Movimiento Internacional,201277074,,,"Not currently rated, This organization is not rated, Not rated",,"PO BOX 38959, HOUSTON, TX, 77238-8959",,Mission not available,2009,Yes
https://www.charitynavigator.org/ein/201277136,Driving Magic Inc.,201277136,,,"Not currently rated, This organization is not rated, Not rated",,"PO BOX 279, DULUTH, GA, 30096-0005",,Mission not available,2004,Yes
https://www.charitynavigator.org/ein/201277374,PENTECOSTALS OF PHOENIX,201277374,,,"Not currently rated, This organization is not rated, Not rated",,"8047 N 171ST LN, WADDELL, AZ, 85355-7540",,Mission not available,1958,Yes
https://www.charitynavigator.org/ein/201277467,NATIONAL EXCHANGE CLUB,201277467,,,"Not currently rated, This organization is not rated, Not rated",,"PO BOX 10907, KILLEEN, TX, 76547-0907",,Mission not available,1950,Yes
https://www.charitynavigator.org/ein/201277672,Earl and Margery Johnson Family Foundation,201277672,,,"Not currently rated, This organization is not rated, Not rated",,"PO BOX 653067, DALLAS, TX, 75265-3067",,Mission not available,2004,Yes
https://www.charitynavigator.org/ein/201277936,The Rock Inc.,201277936,,,"Not currently rated, This organization is not rated, Not rated",,"PO BOX 1101, GRAHAM, TX, 76450-1101",,Mission not available,2022,Yes
https://www.charitynavigator.org/ein/201277782,Ministry for Priestly Support,201277782,,,"Not currently rated, This organization is not rated, Not rated",,"PO BOX 1097, GRAND ISLE, LA, 70358-1097",985-683-4715,"Ministry for Priestly Supports, Inc. was established to provide strategic planning and necessary leadership training for more effective evangelization within the Cat ... (More)",2016,Yes
https://www.charitynavigator.org/ein/201278525,Eureka Foundation Inc.,201278525,,,"Not currently rated, This organization is not rated, Not rated",,"3350 RIVERWOOD PKWY SE STE 1600, ATLANTA, GA, 30339-3359",,Mission not available,2004,Yes
https://www.charitynavigator.org/ein/201279003,Nhs Project Graduation,201279003,,,"Not currently rated, This organization is not rated, Not rated",,"2301 TEXAN DR, JUSTIN, TX, 76247-8793",,Mission not available,2021,Yes
https://www.charitynavigator.org/ein/201279113,Neighbors in Action Inc.,201279113,89%,3,,http://www.neighborsinaction.com,"1320 MAIN ST, HOUSTON, TX, 77002-6803",832-668-1842,To provide for the needs of the underprivileged,2005,No
https://www.charitynavigator.org/ein/201279889,Nipponzan Myohoji-Colorado Dojo Incorporated,201279889,,,"Not currently rated, This organization is not rated, Not rated",,"PO BOX 4729, BOULDER, CO, 80306-4729",,Mission not available,2006,Yes
https://www.charitynavigator.org/ein/201279559,Parrot International,201279559,,,"Not currently rated, This organization is not rated, Review Before Proceeding, Not rated",,"15332 ANTIOCH STREET 417, PACIFIC PALISADES, CA, 90272-3603",,Mission not available,2005,Yes
https://www.charitynavigator.org/ein/201279915,MAPS Media Institute,201279915,100%,4,,https://mapsmediainstitute.com,"515 MADISON ST, Hamilton, MT, 59840-2706",406-363-4824,"MAPS' mission is to empower, inspire, and prepare Montana's next generation through professional media arts instruction, engaging community service, and compassionat ... (More)",2004,No
https://www.charitynavigator.org/ein/201279944,Lift Renewal Ministries,201279944,,,"Not currently rated, This organization is not rated, Not rated",,"PO BOX 4671, WHITTIER, CA, 90607-4671",,Mission not available,2020,Yes
https://www.charitynavigator.org/ein/201280238,AMERICAN LEGION AUXILIARY,201280238,,,"Not currently rated, This organization is not rated, Not rated",,"701 OAKRIDGE DR, STILLWATER, OK, 74074-1120",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/201280801,Torah Academy for Girls Shaarei Bina Inc.,201280801,81%,3,,http://WWW.SHAAREIBINA.ORG,"2907 TAYLOR ST, HOLLYWOOD, FL, 33020-4205",,GIRLS JUNIOR AND SENIOR HIGH SCHOOL,2005,No
https://www.charitynavigator.org/ein/201280852,Mercy International,201280852,82%,3,,http://WWW.MERCYINTL.ORG,"PO BOX 690436, SAN ANTONIO, TX, 78269-0436",210-325-5030,"TRANSFORM THE LIVES OF POOR PERSONS IN HAITI THROUGH THE LIFE CHANGING MESSAGE OF JESUS CHRIST BY PROVIDING GOODS, SHELTER, FOOD, CLOTHING, MEDICAL AND FINANCIAL ASS ... (More)",2006,No
