url,name,ein,score,star_rating,keywords,website,address,phone,organization_mission,IRS_ruling_year,contain_keywords
https://www.charitynavigator.org/ein/222467610,BROTHERHOOD OF MAINTENANCE OF WAY EMPLOYEES,222467610,,,"Not currently rated, This organization is not rated, Not rated",,"306 S ROBINSON AVE, PEN ARGYL, PA, 18072-1949",,Mission not available,1941,Yes
https://www.charitynavigator.org/ein/222468940,PENNSYLVANIA ASSOCIATION OF CLINICAL PATHOLOGISTS,222468940,,,"Not currently rated, This organization is not rated, Not rated",,"400 WINDING CREEK BLVD, MECHANICSBURG, PA, 17050-1885",,Mission not available,1983,Yes
https://www.charitynavigator.org/ein/222469083,Friends of Silver Lake Nature Center,222469083,77%,3,,http://WWW.SILVERLAKENATURECENTER.ORG,"1306 BATH RD, BRISTOL, PA, 19007-2813",215-785-3228,ENVIRONMENTAL AND OUTDOOR EDUCATION FOR YOUTH AND ADULTS,1986,No
https://www.charitynavigator.org/ein/222469164,American Conifer Society,222469164,93%,4,,http://WWW2.CONIFERSOCIETY.ORG,"600 HIGHWAY 169 S STE 1101, ST LOUIS PARK, MN, 55426-1206",763-253-4311,"EDUCATE THE PUBLIC ABOUT CONIFERS, INCLUDING THEIR LANSCAPE USE, CONSERVATION, PROPAGATION AND DEVELOPMENT.",1983,No
https://www.charitynavigator.org/ein/222469504,NEWTON SQUARE BUSINESS AND PROFESSIONAL ASSOCIATION,222469504,,,"Not currently rated, This organization is not rated, Not rated",,"PO BOX 128, NEWTOWN SQUARE, PA, 19073-0000",,Mission not available,1983,Yes
https://www.charitynavigator.org/ein/222470786,NATIONAL COUNCIL OF ACOUSTICAL CONSULTANTS,222470786,,,"Not currently rated, This organization is not rated, Not rated",http://WWW.NCAC.COM,"3502 WOODVIEW TRCE STE 300 # 30, INDIANAPOLIS, IN, 46268-3183",317-328-0642,THE NATIONAL COUNCIL OF ACOUSTICAL CONSULTANTS [NCAC] IS AN INTERNATIONAL ORGANIZATION COMMITTED TO SUPPORTING THE ACOUSTICAL PROFESSION THROUGH: RECOGNIZING EXPERT ... (More),1977,Yes
https://www.charitynavigator.org/ein/222468191,1696 Thomas Massey House,222468191,,,"Not currently rated, This organization is not rated, Not rated",,"PO BOX 18, BROOMALL, PA, 19008-0018",,Mission not available,1983,Yes
https://www.charitynavigator.org/ein/222470981,Picpa Foundation for Education and Research,222470981,81%,3,,http://WWW.PICPA.ORG,"2001 MARKET ST STE 950, PHILADELPHIA, PA, 19103-7110",215-496-9272,PROVIDE EDUCATION PROGRAMS TO ENHANCE THE LEVEL OF PROFESSIONAL COMPETENCE OF CPAS,1986,No
https://www.charitynavigator.org/ein/222469163,Ashford Foundation of Delaware Inc.,222469163,,,"Not currently rated, This organization is not rated, Not rated",,"1 WALKERS MILL RD, WILMINGTON, DE, 19807-2134",,Mission not available,1983,Yes
https://www.charitynavigator.org/ein/222470632,Three for All Inc.,222470632,,,"Not currently rated, This organization is not rated, Not rated",,"907 DEMERIUS ST, DURHAM, NC, 27701-1505",,Mission not available,1983,Yes
https://www.charitynavigator.org/ein/222471771,Boothwyn Fire Company No 1,222471771,73%,2,,http://www.boothwynfirecompany.com,"1405 MEETINGHOUSE RD, UPPR CHICHSTR, PA, 19061-3633",610-485-0269,"Fire prevention, fire extinguishment, and air for distressed persons.",2001,No
https://www.charitynavigator.org/ein/222471914,LANCASTER COUNTY PHARMACEUTICAL ASSOCIATION,222471914,,,"Not currently rated, This organization is not rated, Not rated",,"508 N 3RD ST, HARRISBURG, PA, 17101-1112",,Mission not available,2024,Yes
https://www.charitynavigator.org/ein/222471983,Leon H Sullivan Community Development Corporation Inc.,222471983,,,"Not currently rated, This organization is not rated, Not rated",,"3601 N BROAD ST, PHILADELPHIA, PA, 19140-4107",,Mission not available,1984,Yes
https://www.charitynavigator.org/ein/222471777,Mount Hope Baptist Church,222471777,,,"Not currently rated, This organization is not rated, Not rated",,"4636 PARRISH ST, PHILADELPHIA, PA, 19139-1853",,Mission not available,1984,Yes
https://www.charitynavigator.org/ein/222471833,Shiloh Baptist Church,222471833,,,"Not currently rated, This organization is not rated, Not rated",,"740 W LOCUST ST, YORK, PA, 17401-3680",,Mission not available,1997,Yes
https://www.charitynavigator.org/ein/222473294,Pennsylvania Association of Environmental Educators,222473294,,,"Not currently rated, This organization is not rated, Not rated",,"94 SANCTUARY RD, LAKE ARIEL, PA, 18436-6149",,Mission not available,1983,Yes
https://www.charitynavigator.org/ein/222473337,INTERNATIONAL SECURITY MANAGEMENT ASSOCIATION ISMA INC,222473337,,,"Not currently rated, This organization is not rated, Not rated",http://WWW.ISMA.COM,"CO LACEY MILLER 3294 210TH ST, THAYER, IA, 50254-0000",515-460-5426,"ISMA IS AN INTERNATIONAL LEADERSHIP FORUM FOR SECURITY EXECUTIVES WHOSE EXPERTISE IS USED TO DEVELOP, ORGANIZE, AND SHARE KNOWLEDGE THAT WILL ENHANCE SECURITY PROFES ... (More)",1988,Yes
https://www.charitynavigator.org/ein/222473390,Chimney Safety Institute of America,222473390,86%,3,,,"2155 COMMERCIAL DR, PLAINFIELD, IN, 46168-8012",317-837-1500,"NATIONALLY RECOGNIZED PROGRAM FOR TESTING AND CERTIFYING CHIMNEY INDUSTRY CODES, SAFETY REGULATIONS, PROCEDURES AND INSPECTIONS.",1992,No
