url,name,ein,score,star_rating,keywords,website,address,phone,organization_mission,IRS_ruling_year,contain_keywords
https://www.charitynavigator.org/ein/205024289,Grass Roots Gay Rights Foundation,205024289,97%,4,,http://WWW.REALBAD.ORG,"584 CASTRO ST 495, SAN FRANCISCO, CA, 94114-2512",415-648-8665,"CHANGE LIVES BY SUPPORTING ORGANIZATIONS THAT PROMOTE A HAPPY, HEALTHY AND CONNECTED BAY AREA LGBTQ COMMUNITY.",2007,No
https://www.charitynavigator.org/ein/205023180,YOUTHFUL OFFENDER SYSTEM EMPLOYEE COUNCIL,205023180,,,"This organization is not rated, Not currently rated, Not rated",,"1401 W 17TH ST, PUEBLO, CO, 81003-1929",,Mission not available,2008,Yes
https://www.charitynavigator.org/ein/205024472,Faith Community Christian School,205024472,73%,2,,,"PO BOX 33317, JUNEAU, AK, 99803-3317",907-790-2240,"FAITH COMMUNITY CHRISTIAN SCHOOL IS AN INDEPENDENT, NON-PROFIT, NONDENOMINATIONAL PRIVATE CHRISTIAN SCHOOL THAT SERVES GRADES PRESCHOOL THROUGH 9TH GRADE. FCCS PROVI ... (More)",2007,No
https://www.charitynavigator.org/ein/205025148,Well Aware Inc.,205025148,97%,4,,http://WWW.WELLAWAREWORLD.ORG,"9400 Alice Mae Lane, Austin, TX, 78748, Mail donations to:, 3571 Far West Blvd, PMB 229, Austin, TX, 78731",512-200-7312,To provide innovative and sustainable solutions to water scarcity and contamination in East Africa.,2008,No
https://www.charitynavigator.org/ein/205025877,CISD EDUCATIONAL SUPPORT GROUPS INC,205025877,,,"This organization is not rated, Not currently rated, Not rated",,"6101 RESEARCH FOREST DR, THE WOODLANDS, TX, 77381-6028",,Mission not available,,Yes
https://www.charitynavigator.org/ein/205025965,AGLOW INTERNATIONAL,205025965,,,"This organization is not rated, Not currently rated, Not rated",,"103 CAPPANA CT, PISMO BEACH, CA, 93449-0000",,Mission not available,1973,Yes
https://www.charitynavigator.org/ein/205023226,Dekalb County Dui Court Foundation Inc.,205023226,,,"This organization is not rated, Not currently rated, Not rated",,"556 N MCDONOUGH ST SUITE 2210, DECATUR, GA, 30030-3355",,Mission not available,2007,Yes
https://www.charitynavigator.org/ein/205024355,Abundant Life in Christ Church,205024355,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 567, LAMAR, AR, 72846-0567",,Mission not available,2009,Yes
https://www.charitynavigator.org/ein/205026264,Pleasanton Lions Club Foundation,205026264,,,"This organization is not rated, Not currently rated, Not rated, Review Before Proceeding",,"PO BOX 266, PLEASANTON, CA, 94566-0026",,Mission not available,2021,Yes
https://www.charitynavigator.org/ein/205026800,Linn County Pioneer Association,205026800,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 57, BROWNSVILLE, OR, 97327-0057",,Mission not available,2007,Yes
