url,name,ein,score,star_rating,keywords,website,address,phone,organization_mission,IRS_ruling_year,contain_keywords
https://www.charitynavigator.org/ein/316190360,OHIO SCHOOL BOARDS ASSOCIATION INSURANCE TRUST,316190360,,,"This organization is not rated, Not rated, Not currently rated",http://WWW.OHIOSCHOOLBOARDS.ORG,"8050 N HIGH ST STE 100, COLUMBUS, OH, 43235-6481",614-540-4000,HELP SCHOOL DISTRICTS OBTAIN INSURANCE PRODUCTS AT FAVORABLE RATES BY POOLING THEIR PURCHASING POWER. THE TRUST MAY PROVIDE A VARIETY OF INSURANCE PRODUCTS TO SCHOOL ... (More),2004,Yes
https://www.charitynavigator.org/ein/316185626,MARY BERRY LAWLER FOUNDATION TRUST 200 270 007,316185626,,,"This organization is not rated, Not rated, Not currently rated",,"PO BOX 1558, COLUMBUS, OH, 43216-1558",,Mission not available,,Yes
https://www.charitynavigator.org/ein/316192613,Byron A Root Memorial Trust Fund,316192613,,,"This organization is not rated, Not rated, Not currently rated",,"9191 BROADWAY, MERRILLVILLE, IN, 46410-7043",,Mission not available,1977,Yes
https://www.charitynavigator.org/ein/316187836,Mary Hoban Costello Trust Ua,316187836,,,"This organization is not rated, Not rated, Not currently rated",,"PO BOX 630858, CINCINNATI, OH, 45263-0858",,Mission not available,2018,Yes
https://www.charitynavigator.org/ein/316183600,Rogge Memorial Foundation,316183600,,,"This organization is not rated, Not rated, Not currently rated",,"PO BOX 425, ZANESVILLE, OH, 43702-0425",,Mission not available,2009,Yes
https://www.charitynavigator.org/ein/316183267,FAUN R DRUGGAN TRUST D 200 267 003 FBO SUNBURY CEMETARY,316183267,,,"This organization is not rated, Not rated, Not currently rated",,"PO BOX 1558, COLUMBUS, OH, 43216-1558",,Mission not available,,Yes
https://www.charitynavigator.org/ein/316191108,Welsh American Heritage Museum Inc. Foundation 021066,316191108,,,"This organization is not rated, Not rated, Not currently rated",,"PO BOX 1558, COLUMBUS, OH, 43216-1558",,Mission not available,1973,Yes
https://www.charitynavigator.org/ein/316193387,George H Moor Trust FBO Lutheran Social Svcs of Central Ohio,316193387,,,"This organization is not rated, Not rated, Not currently rated",,"116 ALLEGHENY CENTER MALL P8YB3502L, PITTSBURGH, PA, 15212-5333",,Mission not available,1983,Yes
https://www.charitynavigator.org/ein/316193770,Henry W Seger Memorial Tr Fund,316193770,,,"This organization is not rated, Not rated, Not currently rated",,"10 S DEARBORN IL1-0111, CHICAGO, IL, 60603-2300",,Mission not available,1978,Yes
https://www.charitynavigator.org/ein/316193977,Shirley P Webb Tr UW,316193977,,,"This organization is not rated, Not rated, Not currently rated",,"303 GRANVILLE ST, NEWARK, OH, 43055-4480",,Mission not available,1979,Yes
https://www.charitynavigator.org/ein/316194271,URSULA MILLS MEMORIAL TRUST 200 280 006,316194271,,,"This organization is not rated, Not rated, Not currently rated",,"PO BOX 1558, COLUMBUS, OH, 43216-1558",,Mission not available,,Yes
https://www.charitynavigator.org/ein/316193386,GEORGE H MOOR IRRV LIVING TR FBO CAPITAL UNIVERSITY 08307-6,316193386,,,"This organization is not rated, Not rated, Not currently rated",,"116 ALLEGHENY CENTER MALL P8YB3502L, PITTSBURGH, PA, 15212-5333",,Mission not available,,Yes
https://www.charitynavigator.org/ein/316186580,Donald B Kramer Tr for Shriners Hospital for Crippled Children- bu,316186580,,,"This organization is not rated, Not rated, Not currently rated",,"PO BOX 634, MILWAUKEE, WI, 53201-0634",,Mission not available,1978,Yes
https://www.charitynavigator.org/ein/316194844,Baird Brothers Company Foundation,316194844,,,"This organization is not rated, Not rated, Not currently rated",,"PO BOX 1558, COLUMBUS, OH, 43216-1558",,Mission not available,1978,Yes
https://www.charitynavigator.org/ein/316194921,TETTENBORN MEMORIAL FUND B TRUST 28956,316194921,,,"This organization is not rated, Not rated, Not currently rated",,"116 ALLEGHENY CENTER MALL P8YB3502L, PITTSBURGH, PA, 15212-5333",,Mission not available,,Yes
https://www.charitynavigator.org/ein/316195446,Josephine S Russell Charitable Tr,316195446,,,"This organization is not rated, Not rated, Not currently rated",,"116 ALLEGHENY CENTER MALL P8YB3502L, PITTSBURGH, PA, 15212-0000",,Mission not available,1977,Yes
https://www.charitynavigator.org/ein/316195814,Grace K Oor-Dr Edwin Pratt Memorial Fund,316195814,,,"This organization is not rated, Not rated, Not currently rated",,"PO BOX 1558, COLUMBUS, OH, 43216-1558",,Mission not available,1979,Yes
https://www.charitynavigator.org/ein/316197894,Childrens Hospital Medical Center Uninsured Loss Fund 2,316197894,,,"This organization is not rated, Not rated, Not currently rated",,"3333 BURNET AVE, CINCINNATI, OH, 45229-3039",,Mission not available,1979,Yes
https://www.charitynavigator.org/ein/316197675,J M Bennett Trust for Belpre Boy Scouts,316197675,,,"This organization is not rated, Not rated, Not currently rated",,"138 PUTNAM ST, MARIETTA, OH, 45750-2923",,Mission not available,1970,Yes
