url,name,ein,score,star_rating,keywords,website,address,phone,organization_mission,IRS_ruling_year,contain_keywords
https://www.charitynavigator.org/ein/831484055,GREEN MOUNTAIN WATER SKIERS,831484055,,,"This organization is not rated, Not currently rated, Not rated",,"13 S PINNACLE RIDGE RD, WATERBURY, VT, 05676-4453",,Mission not available,2019,Yes
https://www.charitynavigator.org/ein/831482745,Roktowa Inc.,831482745,,,"This organization is not rated, Not currently rated, Not rated",,"245 8TH AVE, NEW YORK, NY, 10011-1607",,Mission not available,2018,Yes
https://www.charitynavigator.org/ein/831485433,Foxborough Regional Charter School Foundation,831485433,,,"This organization is not rated, Not currently rated, Not rated",,"131 CENTRAL ST, FOXBOROUGH, MA, 02035-2458",,Mission not available,2019,Yes
https://www.charitynavigator.org/ein/831485846,Congregation Menachem,831485846,,,"This organization is not rated, Not currently rated, Not rated",,"66 GLENDALE RD, SHARON, MA, 02067-1430",,Mission not available,2019,Yes
https://www.charitynavigator.org/ein/831486591,Math & Democracy,831486591,,,"This organization is not rated, Not currently rated, Not rated",https://compdemocracy.org/,"99 WALL ST STE 1434, NEW YORK, NY, 10005-4301",,Our work brings data science to deliberative democracy.,2021,Yes
https://www.charitynavigator.org/ein/831486620,Lincolns Angels Inc.,831486620,,,"This organization is not rated, Not currently rated, Not rated",,"2768 GRIDLEY PAIGE RD, DEANSBORO, NY, 13328-1310",,Mission not available,2018,Yes
https://www.charitynavigator.org/ein/831489479,Girls to Grandmasters Inc.,831489479,,,"This organization is not rated, Not currently rated, Not rated",,"2 OLD FARMS RD, SADDLE RIVER, NJ, 07458-3106",,Mission not available,2019,Yes
https://www.charitynavigator.org/ein/831490111,Health Initiative Inc.,831490111,87%,3,Review Before Proceeding,http://WWW.HEALTHINITIATIVEUSA.ORG,"PO BOX 3858, ATTLEBORO, MA, 02703-0063",978-341-4953,"THE HEALTH INITIATIVE (THI) WILL EDUCATE THE GENERAL PUBLIC REGARDING HOW DRIVERS OF HEALTH (E.G., FOOD, HOUSING) IMPACT HEALTH. IN DOING SO, THI WILL HELP TO LEAD T ... (More)",2019,Yes
https://www.charitynavigator.org/ein/831490674,From Our Hearts to Your Toes Inc.,831490674,,,"This organization is not rated, Not currently rated, Not rated",,"3 BEACHWAY, PRT WASHINGTN, NY, 11050-3407",,Mission not available,2018,Yes
https://www.charitynavigator.org/ein/831490709,New Beth El Inc.,831490709,,,"This organization is not rated, Not currently rated, Not rated",,"570 WEST WALNUT, LONG BEACH, NY, 11561-3044",,Mission not available,2021,Yes
