url,name,ein,score,star_rating,keywords,website,address,phone,organization_mission,IRS_ruling_year,contain_keywords
https://www.charitynavigator.org/ein/020424788,New Hampshire East Youth Hockey,020424788,97%,4,,http://WWW.NHEEAGLES.COM,"PO BOX 172, EXETER, NH, 03833-0172",603-235-0372,THE ASSOCIATION PROVIDES AN OPPORTUNITY FOR YOUTH IN THE GREATER SEACOAST AREA TO PARTICIPATE IN YOUTH HOCKEY PROGRAMS,1992,No
https://www.charitynavigator.org/ein/020424683,Camp Tohkomeupog Alumni Association,020424683,,,"This organization is not rated, Not currently rated, Not rated",,"1251 EATON RD, MADISON, NH, 03849-4316",,Mission not available,1994,Yes
https://www.charitynavigator.org/ein/020424753,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,020424753,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 112, ORFORD, NH, 03777-0112",,Mission not available,1940,Yes
https://www.charitynavigator.org/ein/020424793,PLAISTOWN AREA COMMERCE EXCHANGE,020424793,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 694, PLAISTOW, NH, 03865-0694",,Mission not available,1988,Yes
https://www.charitynavigator.org/ein/020424800,GREYHOUND PETS OF AMERICA,020424800,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 305, MILTON MILLS, NH, 03852-0305",,Mission not available,1989,Yes
https://www.charitynavigator.org/ein/020425052,GOODRICH PROPERTY OWNERS ASSOCIATION,020425052,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 271, GLEN, NH, 03838-0271",,Mission not available,2013,Yes
https://www.charitynavigator.org/ein/020425123,NH LAND SURVEYORS FOUNDATION,020425123,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 689, RAYMOND, NH, 03077-0689",,Mission not available,1989,Yes
https://www.charitynavigator.org/ein/020424805,ART LIBRARIES SOCIETY OF NORTH AMERICA,020424805,,,"This organization is not rated, Not currently rated, Not rated",,"23 ESSEX ST, BEVERLY, MA, 01915-4508",,Mission not available,1990,Yes
https://www.charitynavigator.org/ein/020425793,NEW HAMPSHIRE 4-H ASSOCIATION,020425793,,,"This organization is not rated, Not currently rated, Not rated",,"315 DANIEL WEBSTER HWY, BOSCAWEN, NH, 03303-2410",,Mission not available,2013,Yes
https://www.charitynavigator.org/ein/020425215,NEW HAMPSHIRE COUNTRY MUSIC ASSOC,020425215,,,"This organization is not rated, Not currently rated, Not rated",,"968 NORTHSIDE RD, STARK, NH, 03582-6120",,Mission not available,1992,Yes
https://www.charitynavigator.org/ein/020425539,ALPHA SIGMA HOUSE CORPORATION OF KAPPA DELTA,020425539,,,"This organization is not rated, Not currently rated, Not rated",,"25 MADBURY RD, DURHAM, NH, 03824-2022",603-413-6175,"PROVIDE, EQUIP, MAINTAIN AND MANAGE CHAPTER HOUSING FOR ALPHA SIGMA CHAPTER OF KAPPA DELTA SORORITY.",1990,Yes
https://www.charitynavigator.org/ein/020426312,SHALLOW RIVER PROPERTIES INC WASHINGTON ST,020426312,,,"This organization is not rated, Not currently rated, Not rated",,"87 WASHINGTON ST, CONWAY, NH, 03818-6044",603-447-3347,"OWN & MANAGE REAL PROPERTY FOR NORTHERN HUMAN SERVICES, INC.",,Yes
https://www.charitynavigator.org/ein/020426306,Fellowship Apartments Inc.,020426306,,,"This organization is not rated, Not currently rated, Not rated",http://WWW.FELLOWSHIPHOUSING.ORG,"36 PLEASANT ST, CONCORD, NH, 03301-4055",603-225-1767,"TO PROVIDE DECENT, SAFE, AFFORDABLE HOUSING WITH SUPPORT TO MEMBERS OF OUR COMMUNITY WHO LIVE WITH MENTAL ILLNESS.",1994,Yes
https://www.charitynavigator.org/ein/020426554,Monadnock Area Artists Association,020426554,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 864, KEENE, NH, 03431-0864",,Mission not available,1998,Yes
https://www.charitynavigator.org/ein/020426348,Laconia Area Community Land Trust,020426348,96%,4,,http://WWW.LRCOMMUNITYDEVELOPERS.ORG,"193 COURT ST, LACONIA, NH, 03246-3642",603-524-0747,"LAKES REGION COMMUNITY DEVELOPERS' (""LRCD"") MISSION IS TO CREATE OPPORTUNITIES FOR THE LAKES REGION TO THRIVE BY DEVELOPING HEALTHY HOMES, CREATING VIBRANT COMMUNITY ... (More)",1990,No
https://www.charitynavigator.org/ein/020426838,NEW HAMPSHIRE ASSOCIATION OF CRIMINAL DEFENSE LAWYERS,020426838,,,"This organization is not rated, Not currently rated, Not rated",,"9 MADBURY RD APT 101, DURHAM, NH, 03824-2047",,Mission not available,1995,Yes
https://www.charitynavigator.org/ein/020426916,MERRIMACK VALLEY EDUCATION ASSCIATION,020426916,,,"This organization is not rated, Not currently rated, Not rated",,"106 VILLAGE ST, PENACOOK, NH, 03303-1978",,Mission not available,1991,Yes
https://www.charitynavigator.org/ein/020426798,CASQUE AND GAUNTLET INC,020426798,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 319, HANOVER, NH, 03755-0319",,Mission not available,,Yes
https://www.charitynavigator.org/ein/020426575,TOASTMASTERS INTERNATIONAL,020426575,,,"This organization is not rated, Not currently rated, Not rated",,"19 REDINGTON RD, CONCORD, NH, 03301-2439",,Mission not available,1945,Yes
https://www.charitynavigator.org/ein/020426944,FREE & ACCEPTED MASONS OF NEW HAMPSHIRE,020426944,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 1, OSSIPEE, NH, 03864-0001",,Mission not available,1940,Yes
https://www.charitynavigator.org/ein/020427050,NEW ENGLAND PAINT HORSE CLUB INC,020427050,,,"This organization is not rated, Not currently rated, Not rated",,"72 LANE RD, DERRY, NH, 03038-4194",,Mission not available,1989,Yes
https://www.charitynavigator.org/ein/020427331,Housing Partnership,020427331,88%,3,,http://WWW.HOUSINGPARTNERSHIP.ORG,"222 INTERNATIONAL DR STE 165, PORTSMOUTH, NH, 03801-6818",603-431-3610,THE HOUSING PARTNERSHIP'S (THP) MISSION IS TO STRENGTHEN THE COMMUNITIES OF THE GREATER SEACOAST REGION OF NEW HAMPSHIRE AND SOUTHERN MAINE BY CREATING DIVERSE HOUSI ... (More),1989,No
