url,name,ein,score,star_rating,keywords,website,address,phone,organization_mission,IRS_ruling_year,contain_keywords
https://www.charitynavigator.org/ein/381360586,UNIVERSITY OF DETROIT MERCY,381360586,96%,4,,http://www.udmercy.edu,"4001 W MCNICHOLS RD, DETROIT, MI, 48221-3038",313-993-1000,"The University of Detroit Mercy, a Catholic university in the Jesuit and Mercy traditions, exists to provide excellent student-centered undergraduate and graduate ed ... (More)",1992,No
https://www.charitynavigator.org/ein/381360584,Edward W Sparrow Hospital Association,381360584,86%,3,,http://WWW.SPARROW.ORG,"1215 E MICHIGAN AVE, LANSING, MI, 48912-1811",517-364-1000,"IMPROVING THE HEALTH OF THE PEOPLE IN OUR COMMUNITIES BY PROVIDING QUALITY, COMPASSIONATE CARE TO EVERYONE, EVERY TIME.",1939,No
https://www.charitynavigator.org/ein/381360585,Jewish Federation of Metropolitan Detroit,381360585,100%,4,,http://jewishdetroit.org,"6735 Telegraph Road, P.O. Box 2030, Bloomfield Hills, MI, 48303",888-902-4673,"As the major instrument of Jewish philanthropy and engagement in the Detroit area, we are a community-driven organization committed to taking care of the needs of th ... (More)",1943,No
https://www.charitynavigator.org/ein/381360574,HOLY NAME OF MARY PARISH SAULT STE MARIE,381360574,,,"This organization is not rated, Not currently rated, Not rated",,"377 MAPLE ST, SAULT S MARIE, MI, 49783-2067",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381360581,SISTERS OF THE ORDER OF ST DOMINIC OF GRAND RAPIDS,381360581,,,"This organization is not rated, Not currently rated, Not rated",,"2025 E FULTON STREET, GRAND RAPIDS, MI, 49503-3898",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381360580,SS PETER AND PAUL WESTSIDE PARISH DETROIT,381360580,,,"This organization is not rated, Not currently rated, Not rated",,"7685 GRANDVILLE AVE, DETROIT, MI, 48228-3321",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381360583,Lutheran Special Education Ministries,381360583,,,"This organization is not rated, Not currently rated, Not rated",,"3773 GEDDES RD, ANN ARBOR, MI, 48105-3028",,Mission not available,2016,Yes
https://www.charitynavigator.org/ein/381360579,SS PETER AND PAUL JESUIT PARISH DETRIOT,381360579,,,"This organization is not rated, Not currently rated, Not rated",,"438 SAINT ANTOINE ST, DETROIT, MI, 48226-4318",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381360591,Rachel Sovereign Memorial Home,381360591,81%,3,,http://RACHELSOVEREIGN.COM,"1014 CENTER AVE, BAY CITY, MI, 48708-6102",989-893-6890,"TO PROVIDE A FACILITY FOR HOUSING, FEEDING, AND CARING OF ELDERLY WOMEN.",1973,No
https://www.charitynavigator.org/ein/381360592,Young Mens Christian Assn of Kalamazoo,381360592,96%,4,,http://WWW.KZOOYMCA.ORG,"1001 W MAPLE ST, KALAMAZOO, MI, 49008-1843",269-345-9622,"The YMCA puts Christian principles into practice through programs that build healthy spirit, mind, and body for all.",1937,No
https://www.charitynavigator.org/ein/381360594,Young Mens Christian Association of Saginaw,381360594,97%,4,,http://WWW.SAGINAWYMCA.ORG,"1915 FORDNEY ST, SAGINAW, MI, 48601-2809",989-753-7721,The YMCA of Saginaw is an association of all people united in a common effort to put Judeo-Christian principles into practice through programs that enrich the spirit ... (More),1942,No
https://www.charitynavigator.org/ein/381360595,Young Womans Home Association of Detroit,381360595,,,"This organization is not rated, Not currently rated, Not rated",,"32 LAKE SHORE RD, GROSSE PT FRM, MI, 48236-3726",,Mission not available,1945,Yes
https://www.charitynavigator.org/ein/381360596,Young Womens Christian Association of Metropolitan Detroit,381360596,96%,4,,http://WWW.YWCADETROIT.ORG,"985 E JEFFERSON AVE STE 101, DETROIT, MI, 48207-3127",313-259-9922,MISSION: ELIMINATING RACISM AND EMPOWERING WOMEN. 1. YWCA CHANGED ITS BY-LAWS FROM A MEMBERSHIP ORGANIZATION TO A DIRECTORSHIP USING GUIDELINES PROVIDED BY THE NATIO ... (More),1938,No
https://www.charitynavigator.org/ein/381360597,YWCA of Greater Flint,381360597,81%,3,,http://WWW.YWCAFLINT.ORG,"801 S SAGINAW ST, FLINT, MI, 48502-1511",810-238-7621,"YWCA OF GREATER FLINT IS DEDICATED TO ELIMINATING RACISM, EMPOWERING WOMEN, AND PROMOTING, PEACE, JUSTICE, FREEDOM, AND DIGNITY FOR ALL.",1942,No
https://www.charitynavigator.org/ein/381360598,Young Womens Christian Assoc of Kalamazoo,381360598,97%,4,,http://WWW.YWCAKALAMAZOO.ORG,"353 E MICHIGAN AVE, KALAMAZOO, MI, 49007-3832",269-345-5595,SEE SCHEDULE O.,1942,No
https://www.charitynavigator.org/ein/381360725,BRANCH COUNTY FARM BUREAU,381360725,,,"This organization is not rated, Not currently rated, Not rated",,"431 E CHICAGO ST, COLDWATER, MI, 49036-2004",,Mission not available,1944,Yes
https://www.charitynavigator.org/ein/381360742,GRATIOT COUNTY FARM BUREAU INC,381360742,,,"This organization is not rated, Not currently rated, Not rated",,"225 E CENTER ST, ITHACA, MI, 48847-1456",,Mission not available,1945,Yes
https://www.charitynavigator.org/ein/381360770,MONTCALM COUNTY FARM BUREAU INC,381360770,,,"This organization is not rated, Not currently rated, Not rated",,"225 E CENTER ST, ITHACA, MI, 48847-1456",,Mission not available,1962,Yes
https://www.charitynavigator.org/ein/381360783,SAGINAW COUNTY AGRICULTURAL SOCIETY,381360783,,,"This organization is not rated, Not currently rated, Not rated",http://WWW.SAGINAWCOUNTYFAIR.ORG,"PO BOX 449, CHESANING, MI, 48616-0000",989-845-2143,"TO ORGANIZE AND RUN COUNTY FAIR FOR THE BENEFIT OF THE COMMUNITY, PROVIDE A SHOWCASE FOR AGRICULTURE, PROVIDE AN OPPORTUNITY FOR YOUTH TO DEVELOP LIFE SKILLS THROUGH ... (More)",1947,Yes
https://www.charitynavigator.org/ein/381360904,Greater Detroit Area Health Council Inc.,381360904,61%,2,,http://WWW.GDAHC.ORG,"25779 ARCADIA DR, NOVI, MI, 48374-2444",248-282-6742,"GDAHC IS A REGIONAL HEALTH IMPROVEMENT COLLABORATIVE, WHICH IS A NON-PROFIT, NON-GOVERNMENTAL AGENCY WORKING TO IMPROVE HEALTH, TRANSFORM HEALTH CARE DELIVERY, AND M ... (More)",1945,No
https://www.charitynavigator.org/ein/381360906,OUR LADY OF THE LAKE OF PRUDENVILLE,381360906,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 800, PRUDENVILLE, MI, 48651-0800",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381360912,ST MARY PARISH,381360912,,,"This organization is not rated, Not currently rated, Not rated",,"607 E SOUTH UNION ST, BAY CITY, MI, 48706-4777",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381360917,ST THERESE CHURCH,381360917,,,"This organization is not rated, Not currently rated, Not rated",,"128 CEDAR ST, WAYLAND, MI, 49348-1302",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381360921,BOY SCOUTS OF AMERICA,381360921,,,"This organization is not rated, Not currently rated, Not rated",http://WWW.MICHIGANSCOUTING.ORG,"137 S MARKETPLACE BLVD, LANSING, MI, 48917-7756",810-235-2534,"TO PROMOTE PHYSICAL FITNESS, CITIZENSHIP TRAINING, VOCATIONAL EXPLORATION AND EMERGENCY SERVICE",1965,Yes
https://www.charitynavigator.org/ein/381360923,Heart of West Michigan United Way,381360923,100%,4,,http://www.hwmuw.org/,"118 Commerce Avenue, SW, Grand Rapids, MI, 49503",616-459-6281,Heart of West Michigan United Way's mission is to unite community resources to invest in solutions that reduce poverty in West Michigan.,1961,No
https://www.charitynavigator.org/ein/381360926,Humane Society of West Michigan,381360926,95%,4,,https://www.hswestmi.org/,"3077 Wilson Drive, NW, Grand Rapids, MI, 49534",616-453-8900,"For 130 years, Humane Society of West Michigan has operated under a seemingly simple mission, one that we feel provides both animals and those who care for them with ... (More)",1951,No
https://www.charitynavigator.org/ein/381360929,SACRED HEART PARISH HUDSON,381360929,,,"This organization is not rated, Not currently rated, Not rated",,"207 S MARKET ST, HUDSON, MI, 49247-1319",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381360932,ST MARY OF REDFORD PARISH SCHOOL,381360932,,,"This organization is not rated, Not currently rated, Not rated",,"14751 MANSFIELD ST, DETROIT, MI, 48227-1801",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381360933,ST MATTHEW PARISH FLINT,381360933,,,"This organization is not rated, Not currently rated, Not rated",,"706 BEACH ST, FLINT, MI, 48502-1105",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381360937,SISTERS OF MERCY REGIONAL COMMUNITY OF DETROIT INC,381360937,,,"This organization is not rated, Not currently rated, Not rated",,"29000 W 11 MILE RD, FARMINGTN HLS, MI, 48336-1405",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381362823,Goodwill Industries of Greater Detroit,381362823,88%,3,,http://WWW.GOODWILLDETROIT.ORG,"3111 GRAND RIVER AVE, DETROIT, MI, 48208-2962",313-964-3900,TO BUILD PATHWAYS TO INDEPENDENCE THROUGH PERSONAL DEVELOPMENT AND THE POWER OF WORK.,1935,No
https://www.charitynavigator.org/ein/381362266,Berrien Co Youth Fair Assn,381362266,77%,3,,http://www.bcyf.org,"9122 US HIGHWAY 31, BERRIEN SPRGS, MI, 49103-1652",269-473-4251,"""Building the Character of the Community by Developing the Character of our Youth"". Primary purpose is to provide an annual county youth event as a showplace for Ber ... (More)",1949,No
https://www.charitynavigator.org/ein/381362825,COMMUNITY CHRISTIAN CHURCH OF PORT HURON,381362825,,,"This organization is not rated, Not currently rated, Not rated",,"1814 SANBORN ST, PORT HURON, MI, 48060-1964",,Mission not available,1955,Yes
https://www.charitynavigator.org/ein/381362830,Munson Medical Center,381362830,96%,4,,http://WWW.MUNSONHEALTHCARE.ORG,"1105 SIXTH ST, TRAVERSE CITY, MI, 49684-2345",231-935-5000,MUNSON MEDICAL CENTER AND ITS PARTNERS WORK TOGETHER TO PROVIDE SUPERIOR QUALITY CARE AND PROMOTE COMMUNITY HEALTH.,1943,No
https://www.charitynavigator.org/ein/381362831,ST BARBARA POLISH PARISH DEARBORN,381362831,,,"This organization is not rated, Not currently rated, Not rated",,"13534 COLSON ST, DEARBORN, MI, 48126-3210",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381362833,ST FLORIAN PARISH HAMTRAMCK,381362833,,,"This organization is not rated, Not currently rated, Not rated",,"2626 POLAND ST, HAMTRAMCK, MI, 48212-3423",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381362834,St. James Protestant Episcopal Church,381362834,,,"This organization is not rated, Not currently rated, Not rated",,"355 W MAPLE RD, BIRMINGHAM, MI, 48009-3347",,Mission not available,1945,Yes
https://www.charitynavigator.org/ein/381362835,ST VERONICA PARISH EASTPOINTE,381362835,,,"This organization is not rated, Not currently rated, Not rated",,"21440 UNIVERSAL AVE, EASTPOINTE, MI, 48021-2969",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381362849,CREDIT UNIONS CHARTERED IN THE STATE OF MICHIGAN,381362849,,,"This organization is not rated, Not currently rated, Not rated",https://hpccu.com/,"1234 W CHISHOLM ST, ALPENA, MI, 49707-1620",989-354-4698,"TO SERVE AND PROMOTE MEMBERS' PERSONAL FINANCIAL SUCCESS AND TO CONTINUE THE CREDIT UNION PHILOSOPHY OF ""PEOPLE HELPING PEOPLE"".",1956,Yes
https://www.charitynavigator.org/ein/381363560,BATTLE CREEK BIBLE CHURCH,381363560,,,"This organization is not rated, Not currently rated, Not rated",,"567 TERRITORIAL RD W, BATTLE CREEK, MI, 49015-3249",,Mission not available,1964,Yes
https://www.charitynavigator.org/ein/381363562,CHRIST CHURCH GROSSE POINTE,381363562,,,"This organization is not rated, Not currently rated, Not rated",,"61 GROSSE POINTE BLVD, GROSSE PT FRM, MI, 48236-3712",,Mission not available,1940,Yes
https://www.charitynavigator.org/ein/381363563,FIRST CONGREGATIONAL CHURCH,381363563,,,"This organization is not rated, Not currently rated, Not rated",,"1201 JEFFERSON ST, MUSKEGON, MI, 49441-2024",,Mission not available,1964,Yes
https://www.charitynavigator.org/ein/381363567,Greater Muskegon Womans Club,381363567,,,"This organization is not rated, Not currently rated, Not rated",,"280 W WEBSTER AVE, MUSKEGON, MI, 49440-1209",,Mission not available,1951,Yes
https://www.charitynavigator.org/ein/381363569,SACRED HEART PARISH YALE,381363569,,,"This organization is not rated, Not currently rated, Not rated",,"310 N MAIN ST, YALE, MI, 48097-2845",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381363833,SAGINAW PRAIRIE FARM CORP,381363833,,,"This organization is not rated, Not currently rated, Not rated",,"4957 ALICIA RD, SAINT CHARLES, MI, 48655-9620",,Mission not available,2008,Yes
https://www.charitynavigator.org/ein/381364297,LAPEER COUNTY FARM BUREAU,381364297,,,"This organization is not rated, Not currently rated, Not rated",,"1658 MAYFIELD RD, LAPEER, MI, 48446-1450",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381364300,Agricultural Society of Lenawee County,381364300,71%,2,,,"602 N DEAN ST, ADRIAN, MI, 49221-2453",,CONDUCT THE LENAWEE COUNTY FAIR TO PROMOTE AGRICULTURAL AND HORTICULTURAL ACTIVITIES IN LENAWEE COUNTY.,1994,No
https://www.charitynavigator.org/ein/381364487,MICHIGAN ASSOCIATION OF COUNTIES,381364487,,,"This organization is not rated, Not currently rated, Not rated",http://WWW.MICOUNTIES.ORG,"110 W MICHIGAN AVE STE 200, LANSING, MI, 48933-1640",517-372-5374,"TO ADVANCE EDUCATION, COMMUNICATION, AND COOPERATION AMONG COUNTY GOVERNMENTS IN MICHIGAN.",1945,Yes
https://www.charitynavigator.org/ein/381364510,WASHTENAW COUNTY FARM BUREAU INC,381364510,,,"This organization is not rated, Not currently rated, Not rated",,"5095 ANN ARBOR SALINE RD, ANN ARBOR, MI, 48103-9722",,Mission not available,1944,Yes
https://www.charitynavigator.org/ein/381364558,DELTA SIGMA PHI FRATERNITY INC,381364558,,,"This organization is not rated, Not currently rated, Not rated",,"1565 FAIRHOLME RD, GROSSE PT WDS, MI, 48236-2362",,Mission not available,1967,Yes
https://www.charitynavigator.org/ein/381365544,FIRST PRESBYTERIAN CHURCH,381365544,,,"This organization is not rated, Not currently rated, Not rated",,"1669 W MAPLE RD, BIRMINGHAM, MI, 48009-1230",,Mission not available,1964,Yes
https://www.charitynavigator.org/ein/381366183,ALPHA EPSILON PI FRATERNITY,381366183,,,"This organization is not rated, Not currently rated, Not rated",,"1912 GEDDES AVE, ANN ARBOR, MI, 48104-1798",,Mission not available,1960,Yes
https://www.charitynavigator.org/ein/381366187,PHI GAMMA DELTA FRATERNITY,381366187,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 6393, PLYMOUTH, MI, 48170-8493",,Mission not available,1966,Yes
https://www.charitynavigator.org/ein/381366189,SIGMA DELTA TAU SOCIETY,381366189,,,"This organization is not rated, Not currently rated, Not rated",,"PO BOX 6393, PLYMOUTH, MI, 48170-8493",734-455-1544,SISTERHOOD AND SOCIAL EXPERIENCE AT COLLEGE,1945,Yes
https://www.charitynavigator.org/ein/381366900,ALLEN PARK PRESBYTERIAN CHURCH,381366900,,,"This organization is not rated, Not currently rated, Not rated",,"7101 PARK AVE, ALLEN PARK, MI, 48101-2037",,Mission not available,1964,Yes
https://www.charitynavigator.org/ein/381366908,United Methodist Retirement Communities Inc.,381366908,96%,4,,,"805 W MIDDLE ST, CHELSEA, MI, 48118-1369",734-433-1000,"Welcoming all, partnering together, enriching lives.",1948,No
https://www.charitynavigator.org/ein/381366909,Child Welfare Society of Flint Inc.,381366909,,,"This organization is not rated, Not currently rated, Not rated",,"1212 WOODLAWN PARK DR, FLINT, MI, 48503-2766",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381366910,Child and Family Service of Saginaw County,381366910,96%,4,,http://WWW.CHILDANDFAMILYSAGINAW.ORG,"2838 AUTOMOTIVE CTR, SAGINAW, MI, 48603-1220",989-790-7500,"CHILD AND FAMILY SERVICE OF SAGINAW COUNTY IS A SOCIAL WORK AGENCY DEDICATED TO ENHANCING THE QUALITY OF LIFE IN OUR COMMUNITY BY FOSTERING PERSONAL GROWTH, EMOTIONA ... (More)",1960,No
https://www.charitynavigator.org/ein/381366911,Christ Church of the City of Detroit,381366911,,,"This organization is not rated, Not currently rated, Not rated",,"960 E JEFFERSON AVE, DETROIT, MI, 48207-3102",,Mission not available,1945,Yes
https://www.charitynavigator.org/ein/381366920,FIRST BAPTIST CHURCH OF DETROIT,381366920,,,"This organization is not rated, Not currently rated, Not rated",,"21200 SOUTHFIELD RD, SOUTHFIELD, MI, 48075-7615",,Mission not available,1955,Yes
https://www.charitynavigator.org/ein/381366924,Girl Scouts of Michigan Shore to Shore,381366924,100%,4,,http://WWW.GSMISTS.ORG,"3275 WALKER AVE NW, GRAND RAPIDS, MI, 49544-9775",616-784-3341,"TO BUILD GIRLS OF COURAGE, CONFIDENCE, AND CHARACTER, WHO MAKE THE WORLD A BETTER PLACE.",1947,No
https://www.charitynavigator.org/ein/381366931,Leader Dogs for the Blind,381366931,98%,4,,http://www.leaderdog.org/,"1039 South Rochester Road, Rochester Hills, MI, 48307",888-777-5332,"Since 1939, Leader Dogs for the Blind has provided the tools and training to reintroduce people who are blind or visually impaired to a life of independence, confide ... (More)",1952,No
https://www.charitynavigator.org/ein/381366927,Holland Home,381366927,81%,3,,http://www.hollandhome.org,"2100 RAYBROOK ST SE STE 300, GRAND RAPIDS, MI, 49546-5783",616-235-5015,"Provide nursing, therapy, and benevolent services for aged residents in skilled nursing, memory care, assisted living and independent living centers.",1958,No
https://www.charitynavigator.org/ein/381366932,Clark Retirement Community Inc.,381366932,66%,2,,http://CLARKRETIREMENT.ORG,"1551 FRANKLIN SE, GRAND RAPIDS, MI, 49506-8203",616-452-1568,"TO PROVIDE RETIREMENT HOUSING, HEALTHCARE, AND RELATED SERVICES TO RESIDENTS AND CLIENTS.",1939,No
https://www.charitynavigator.org/ein/381366936,NARDIN PARK UNITED METHODIST CHURCH,381366936,,,"This organization is not rated, Not currently rated, Not rated",,"29887 W 11 MILE RD, FARMINGTN HLS, MI, 48336-1309",,Mission not available,1974,Yes
https://www.charitynavigator.org/ein/381366937,NELAND AVE CHRISTIAN REFORMED CHURCH,381366937,,,"This organization is not rated, Not currently rated, Not rated",,"940 NELAND AVE SE, GRAND RAPIDS, MI, 49507-1370",,Mission not available,1975,Yes
https://www.charitynavigator.org/ein/381366940,PLAINFIELD UNITED METHODIST CHURCH,381366940,,,"This organization is not rated, Not currently rated, Not rated",,"214 SPENCER ST NE, GRAND RAPIDS, MI, 49505-5023",,Mission not available,1974,Yes
https://www.charitynavigator.org/ein/381366941,PLYMOUTH UNITED CHURCH OF CHRIST,381366941,,,"This organization is not rated, Not currently rated, Not rated",,"600 E WARREN AVE, DETROIT, MI, 48201-1438",,Mission not available,1964,Yes
https://www.charitynavigator.org/ein/381366943,SACRED HEART PARISH DEARBORN,381366943,,,"This organization is not rated, Not currently rated, Not rated",,"912 S MILITARY ST, DEARBORN, MI, 48124-2112",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381366944,SACRED HEART OF JESUS PARISH,381366944,,,"This organization is not rated, Not currently rated, Not rated",,"156 VALLEY AVE SW, GRAND RAPIDS, MI, 49504-6179",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381366946,ST FRANCES CABRINI PARISH ALLEN PARK,381366946,,,"This organization is not rated, Not currently rated, Not rated",,"9000 LAURENCE AVE, ALLEN PARK, MI, 48101-1510",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381366952,ST MATTHEW PARISH DETROIT,381366952,,,"This organization is not rated, Not currently rated, Not rated",,"6021 WHITTIER ST, DETROIT, MI, 48224-2694",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381366956,Second Baptist Church of Detroit,381366956,,,"This organization is not rated, Not currently rated, Not rated",,"441 MONROE ST, DETROIT, MI, 48226-2930",,Mission not available,1947,Yes
https://www.charitynavigator.org/ein/381366955,ST WILLIAM PARISH WALLED LAKE,381366955,,,"This organization is not rated, Not currently rated, Not rated",,"531 COMMON ST, WALLED LAKE, MI, 48390-3417",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381366957,SEYMOUR CHRISTIAN REFORMED CHURCH,381366957,,,"This organization is not rated, Not currently rated, Not rated",,"840 ALGER ST SE, GRAND RAPIDS, MI, 49507-3826",,Mission not available,1975,Yes
https://www.charitynavigator.org/ein/381366958,SIENA HEIGHTS UNIVERSITY,381366958,96%,4,,http://WWW.SIENAHEIGHTS.EDU,"1247 E SIENA HEIGHTS DR, ADRIAN, MI, 49221-1755",517-264-7108,"TO PROVIDE STUDENTS WITH A LIBERAL ARTS EDUCATION WITH THE PURPOSE OF ASSISTING PEOPLE IN BECOMING MORE COMPETENT, PURPOSEFUL AND ETHICAL THROUGH A TEACHING AND LEAR ... (More)",1994,No
https://www.charitynavigator.org/ein/381367080,AQUINAS COLLEGE INC,381367080,88%,3,,http://WWW.AQUINAS.EDU,"1700 FULTON ST E, GRAND RAPIDS, MI, 49506-1801",616-632-8900,AQUINAS COLLEGE STRIVES TO BE AMONG THE PREMIER CATHOLIC COLLEGES IN THE MIDWEST RECOGNIZED FOR ITS EXCELLENCE IN PREPARING THE WHOLE PERSON TO LEAD A LIFE OF PURPOS ... (More),1946,No
https://www.charitynavigator.org/ein/381367081,PRECIOUS BLOOD PARISH STEPHENSON,381367081,,,"This organization is not rated, Not currently rated, Not rated",,"S304 BLUFF ST, STEPHENSON, MI, 49887-8861",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381367082,ST PIUS X PARISH SOUTHGATE,381367082,,,"This organization is not rated, Not currently rated, Not rated",,"14101 SUPERIOR ST, SOUTHGATE, MI, 48195-6600",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381367085,FIRST PRESBYTERIAN CHURCH OF DEARBORN,381367085,,,"This organization is not rated, Not currently rated, Not rated",,"600 N BRADY RD, DEARBORN, MI, 48124-1110",,Mission not available,1947,Yes
https://www.charitynavigator.org/ein/381367086,FIRST PRESBYTERIAN CHURCH,381367086,,,"This organization is not rated, Not currently rated, Not rated",,"743 W MICHIGAN AVE, JACKSON, MI, 49201-1908",,Mission not available,1964,Yes
https://www.charitynavigator.org/ein/381367088,GESU PARISH DETROIT,381367088,,,"This organization is not rated, Not currently rated, Not rated",,"17180 OAK DR, DETROIT, MI, 48221-3024",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381367089,KIRK IN THE HILLS,381367089,,,"This organization is not rated, Not currently rated, Not rated",,"1340 W LONG LAKE RD, BLOOMFLD HLS, MI, 48302-1335",,Mission not available,1964,Yes
https://www.charitynavigator.org/ein/381367091,ST STEPHEN,381367091,,,"This organization is not rated, Not currently rated, Not rated",,"4311 CENTRAL ST, DETROIT, MI, 48210-2736",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381367097,WEST LEONARD ST CHRISTIAN REFORMED CHURCH,381367097,,,"This organization is not rated, Not currently rated, Not rated",,"1053 LEONARD ST NW, GRAND RAPIDS, MI, 49504-4135",,Mission not available,1975,Yes
https://www.charitynavigator.org/ein/381367098,Dynamic Youth Ministries,381367098,90%,4,,http://DYNAMICYOUTHMINISTRIES.ORG,"4695 44TH ST SE, GRAND RAPIDS, MI, 49512-4131",616-241-5616,"BRING CHILDREN AND YOUTH INTO A SAVING RELATIONSHIP WITH JESUS CHRIST BY PROVIDING EDUCATIONAL MATERIALS, TRAINING FOR ADULT LEADERS, AND SERVICE PROJECTS THROUGH NO ... (More)",1950,No
https://www.charitynavigator.org/ein/381367099,YWCA Great Lakes Bay Region,381367099,97%,4,,http://WWW.YWCAGLBR.ORG,"205 6TH ST, BAY CITY, MI, 48708-5630",989-894-9055,"ELIMINATING RACISM, EMPOWERING WOMEN AND PROMOTING PEACE, JUSTICE, FREEDOM AND DIGNITY FOR ALL.",1945,No
https://www.charitynavigator.org/ein/381367256,EATON COUNTY FARM BUREAU INC,381367256,,,"This organization is not rated, Not currently rated, Not rated",,"430 STATE ST, CHARLOTTE, MI, 48813-1706",,Mission not available,1953,Yes
https://www.charitynavigator.org/ein/381367282,Hillsdale County Agricultural,381367282,54%,1,,http://WWW.HILLSDALECOUNTYFAIR.ORG,"PO BOX 289, HILLSDALE, MI, 49242-0289",517-437-3622,"TO PROMOTE AND ADVANCE THE INTEREST OF AGRICULTURE, HORTICULTURE, HOUSEHOLD ARTS AND MECHANIC ARTS & SCIENCES AND ALL KINDRED SCIENCES AND ARTS IN THEIR VARIED BRANC ... (More)",1968,No
https://www.charitynavigator.org/ein/381367303,Carrie Filer Board Inc.,381367303,,,"This organization is not rated, Not currently rated, Not rated",,"387 PINEY RD, MANISTEE, MI, 49660-9151",,Mission not available,1944,Yes
https://www.charitynavigator.org/ein/381367304,MT HOPE CATHOLIC CEMETERY ASSOCIATION,381367304,,,"This organization is not rated, Not currently rated, Not rated",,"46408 WOODWARD AVE, PONTIAC, MI, 48342-5007",,Mission not available,1946,Yes
https://www.charitynavigator.org/ein/381367306,FIRST BAPTIST CHURCH,381367306,,,"This organization is not rated, Not currently rated, Not rated",,"201 S JACKSON, JACKSON, MI, 49201-1353",,Mission not available,1955,Yes
